Code,District,Median years spent in education
AMP,Ampara,8.2
ANU,Anuradhapura,9.4
BAD,Badulla,9.2
BAT,Batticaloa,8.7
COL,Colombo,9.9
GAL,Galle,9.4
GAM,Gampaha,9.7
HAM,Hambantota,9.5
JAF,Jaffna,9.4
KAL,Kalutara,9.6
KAN,Kandy,9.5
KEG,Kegalle,9.4
KIL,Kilinochchi,8.6
KUR,Kurunegala,9.4
MAN,Mannar,8.5
MON,Matale,9.2
MTL,Matara,9.5
MTR,Moneragala,9.2
MUL,Mullaitivu,8
NUW,Nuwara-Eliya,7.5
POL,Polonnaruwa,9.2
PUT,Puttalam,9
RAT,Ratnapura,9.3
TRI,Trincomalee,8.4
VAN,Vavuniya,9.3
