Region/Country/Area,Land,Year,Series,Value,Footnotes,Source
144,Sri Lanka,2016,Permanent crops (thousand hectares),1000.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2016,Forest cover (thousand hectares),2063.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2016,Arable land (% of total land area),20.7000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2016,Permanent crops (% of total land area),15.9000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2016,Forest cover (% of total land area),32.9000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),49.8500,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
144,Sri Lanka,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),49.8500,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
275,State of Palestine,2005,Land area (thousand hectares),602.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
275,State of Palestine,2005,Arable land (thousand hectares),99.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
275,State of Palestine,2005,Permanent crops (thousand hectares),115.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
275,State of Palestine,2005,Forest cover (thousand hectares),9.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
275,State of Palestine,2005,Arable land (% of total land area),16.4000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
275,State of Palestine,2005,Permanent crops (% of total land area),19.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
275,State of Palestine,2005,Forest cover (% of total land area),1.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
275,State of Palestine,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),2.4700,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
275,State of Palestine,2010,Land area (thousand hectares),602.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
