Region/Country/Area,Land,Year,Series,Value,Footnotes,Source
748,Eswatini,2010,Forest cover (thousand hectares),563.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2010,Arable land (% of total land area),10.2000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2010,Permanent crops (% of total land area),0.9000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2010,Forest cover (% of total land area),32.7000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),29.9800,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
748,Eswatini,2016,Land area (thousand hectares),1720.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2016,Arable land (thousand hectares),175.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2016,Permanent crops (thousand hectares),15.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2016,Forest cover (thousand hectares),591.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2016,Arable land (% of total land area),10.2000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2016,Permanent crops (% of total land area),0.9000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2016,Forest cover (% of total land area),34.3000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
748,Eswatini,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),30.2700,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
748,Eswatini,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),30.2700,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
752,Sweden,2005,Land area (thousand hectares),41034.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2005,Arable land (thousand hectares),2698.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2005,Permanent crops (thousand hectares),5.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2005,Forest cover (thousand hectares),28218.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2005,Arable land (% of total land area),6.6000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2005,Permanent crops (% of total land area),0.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2005,Forest cover (% of total land area),68.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),56.6500,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
752,Sweden,2010,Land area (thousand hectares),41034.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2010,Arable land (thousand hectares),2629.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2010,Permanent crops (thousand hectares),5.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2010,Forest cover (thousand hectares),28073.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2010,Arable land (% of total land area),6.4000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2010,Permanent crops (% of total land area),0.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2010,Forest cover (% of total land area),68.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.7900,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
752,Sweden,2016,Land area (thousand hectares),40731.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2016,Arable land (thousand hectares),2575.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2016,Permanent crops (thousand hectares),5.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2016,Forest cover (thousand hectares),28073.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2016,Arable land (% of total land area),6.3000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2016,Permanent crops (% of total land area),0.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2016,Forest cover (% of total land area),68.9000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
752,Sweden,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),58.8100,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
752,Sweden,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),58.8100,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
756,Switzerland,2005,Land area (thousand hectares),3952.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2005,Arable land (thousand hectares),406.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2005,Permanent crops (thousand hectares),23.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2005,Forest cover (thousand hectares),1217.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2005,Arable land (% of total land area),10.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2005,Permanent crops (% of total land area),0.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2005,Forest cover (% of total land area),30.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.5100,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
756,Switzerland,2010,Land area (thousand hectares),3952.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2010,Arable land (thousand hectares),405.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2010,Permanent crops (thousand hectares),24.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
756,Switzerland,2010,Forest cover (thousand hectares),1235.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
