Region/Country/Area,Gross domestic expenditure on research and development (R&D),Year,Series,Value,Footnotes,Source
233,Estonia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),11.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Business enterprises (%),41.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Government (%),46.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Higher education (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),12.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,Gross domestic expenditure on R & D: Government (%),69.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),30.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Business enterprises (%),10.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Government (%),56.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Higher education (%),1.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),30.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Not distributed (%),2.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Business enterprises (%),0.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Government (%),79.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Higher education (%),1.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Private non-profit (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Funds from abroad (%),2.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Not distributed (%),16.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: Business enterprises (%),20.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: Private non-profit (%),0.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: Funds from abroad (%),18.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: Not distributed (%),60.6000,Overestimated or based on overestimated data.;Including higher education.;Including Government.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Business enterprises (%),66.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Government (%),25.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Higher education (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Private non-profit (%),1.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Funds from abroad (%),6.3000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Business enterprises (%),66.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Government (%),25.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Higher education (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Private non-profit (%),1.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Funds from abroad (%),6.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Business enterprises (%),54.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Government (%),28.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Higher education (%),0.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Private non-profit (%),1.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Funds from abroad (%),14.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Business enterprises (%),51.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Government (%),38.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Higher education (%),1.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Funds from abroad (%),7.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Business enterprises (%),53.5000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Government (%),37.1000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Higher education (%),1.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.8000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Funds from abroad (%),7.5000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Business enterprises (%),54.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Government (%),34.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Higher education (%),2.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Funds from abroad (%),7.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
266,Gabon,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
266,Gabon,2009,Gross domestic expenditure on R & D: Business enterprises (%),29.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
266,Gabon,2009,Gross domestic expenditure on R & D: Government (%),58.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
266,Gabon,2009,Gross domestic expenditure on R & D: Higher education (%),9.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
266,Gabon,2009,Gross domestic expenditure on R & D: Funds from abroad (%),3.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
266,Gabon,2009,Gross domestic expenditure on R & D: Not distributed (%),0.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
270,Gambia,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
270,Gambia,2011,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1000,Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
270,Gambia,2011,Gross domestic expenditure on R & D: Government (%),38.5000,Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
270,Gambia,2011,Gross domestic expenditure on R & D: Private non-profit (%),45.6000,Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
270,Gambia,2011,Gross domestic expenditure on R & D: Funds from abroad (%),15.9000,Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
268,Georgia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
268,Georgia,2013,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1000,Break in the time series.;Partial data.;Higher Education only.;Based on R&D budget instead of R&D expenditure.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
268,Georgia,2013,Gross domestic expenditure on R & D: Government (%),46.7000,Partial data.;Higher Education only.;The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
268,Georgia,2013,Gross domestic expenditure on R & D: Higher education (%),36.1000,Partial data.;Higher Education only.;The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
268,Georgia,2013,Gross domestic expenditure on R & D: Private non-profit (%),3.1000,Partial data.;Higher Education only.;The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
268,Georgia,2013,Gross domestic expenditure on R & D: Funds from abroad (%),14.7000,Partial data.;Higher Education only.;The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
268,Georgia,2013,Gross domestic expenditure on R & D: Not distributed (%),0.4000,Partial data.;Higher Education only.;The sum of the breakdown does not add to the total.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
268,Georgia,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3000,Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2005,Gross domestic expenditure on R & D: Business enterprises (%),67.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2005,Gross domestic expenditure on R & D: Government (%),28.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2005,Gross domestic expenditure on R & D: Funds from abroad (%),3.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2010,Gross domestic expenditure on R & D: Business enterprises (%),65.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2010,Gross domestic expenditure on R & D: Government (%),30.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2010,Gross domestic expenditure on R & D: Funds from abroad (%),3.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2015,Gross domestic expenditure on R & D: Business enterprises (%),65.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2015,Gross domestic expenditure on R & D: Government (%),27.9000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.4000,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2015,Gross domestic expenditure on R & D: Funds from abroad (%),6.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
276,Germany,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.9000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
288,Ghana,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
288,Ghana,2010,Gross domestic expenditure on R & D: Business enterprises (%),0.1000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
288,Ghana,2010,Gross domestic expenditure on R & D: Government (%),68.3000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
288,Ghana,2010,Gross domestic expenditure on R & D: Higher education (%),0.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
288,Ghana,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
288,Ghana,2010,Gross domestic expenditure on R & D: Funds from abroad (%),31.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2005,Gross domestic expenditure on R & D: Business enterprises (%),31.1000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2005,Gross domestic expenditure on R & D: Government (%),46.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2005,Gross domestic expenditure on R & D: Higher education (%),1.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2005,Gross domestic expenditure on R & D: Private non-profit (%),1.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2005,Gross domestic expenditure on R & D: Funds from abroad (%),19.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2010,Gross domestic expenditure on R & D: Business enterprises (%),36.5000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2010,Gross domestic expenditure on R & D: Government (%),48.3000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2010,Gross domestic expenditure on R & D: Higher education (%),2.3000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2010,Gross domestic expenditure on R & D: Private non-profit (%),1.0000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2010,Gross domestic expenditure on R & D: Funds from abroad (%),11.9000,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2016,Gross domestic expenditure on R & D: Business enterprises (%),40.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2016,Gross domestic expenditure on R & D: Government (%),42.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
300,Greece,2016,Gross domestic expenditure on R & D: Higher education (%),2.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
