,AMP,ANU,BAD,BAT,COL,GAL,GAM,HAM,JAF,KAL,KAN,KEG,KIL,KUR,MAN,MON,MTL,MTR,MUL,NUW,POL,PUT,RAT,TRI,VAN
2020-12-12,0.0,1.0,2.0,0.0,440.0,27.0,128.0,0.0,5.0,71.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,13.0,1.0,4.0,2.0,0.0,2.0
2020-12-13,0.0,3.0,12.0,1.0,331.0,13.0,99.0,2.0,0.0,168.0,12.0,3.0,0.0,21.0,0.0,7.0,8.0,22.0,0.0,6.0,0.0,19.0,10.0,0.0,0.0
2020-12-14,0.0,3.0,3.0,0.0,245.0,0.0,105.0,0.0,32.0,75.0,50.0,2.0,0.0,23.0,0.0,5.0,0.0,5.0,2.0,6.0,0.0,18.0,33.0,1.0,0.0
2020-12-15,0.0,0.0,2.0,1.0,270.0,32.0,163.0,2.0,1.0,46.0,22.0,6.0,0.0,15.0,0.0,16.0,6.0,0.0,0.0,47.0,0.0,11.0,6.0,0.0,4.0
2020-12-16,1.0,3.0,3.0,0.0,267.0,29.0,87.0,0.0,13.0,62.0,11.0,5.0,0.0,5.0,0.0,12.0,2.0,8.0,0.0,5.0,3.0,2.0,3.0,0.0,0.0
2020-12-17,0.0,0.0,7.0,1.0,230.0,4.0,107.0,8.0,2.0,115.0,10.0,7.0,0.0,10.0,0.0,0.0,0.0,19.0,0.0,12.0,5.0,2.0,12.0,0.0,0.0
2020-12-18,0.0,0.0,2.0,0.0,310.0,8.0,70.0,0.0,2.0,66.0,75.0,9.0,0.0,7.0,0.0,14.0,0.0,15.0,0.0,5.0,0.0,1.0,28.0,1.0,0.0
2020-12-19,0.0,0.0,2.0,2.0,223.0,7.0,133.0,0.0,6.0,97.0,10.0,5.0,0.0,13.0,0.0,3.0,5.0,24.0,0.0,2.0,1.0,13.0,8.0,1.0,4.0
2020-12-20,1.0,0.0,2.0,0.0,261.0,47.0,74.0,1.0,8.0,107.0,43.0,23.0,0.0,3.0,0.0,7.0,1.0,2.0,0.0,2.0,0.0,2.0,15.0,1.0,1.0
2020-12-21,1.0,1.0,0.0,0.0,255.0,12.0,100.0,9.0,5.0,101.0,4.0,27.0,0.0,9.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,7.0,9.0,2.0,2.0
2020-12-22,0.0,4.0,0.0,1.0,101.0,12.0,72.0,0.0,3.0,38.0,18.0,2.0,0.0,3.0,0.0,0.0,6.0,6.0,0.0,29.0,1.0,2.0,2.0,17.0,0.0
2020-12-23,0.0,0.0,0.0,2.0,227.0,10.0,32.0,0.0,0.0,76.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,4.0,4.0,11.0,1.0
2020-12-24,1.0,1.0,1.0,2.0,185.0,19.0,107.0,3.0,2.0,47.0,3.0,39.0,2.0,2.0,0.0,1.0,1.0,24.0,0.0,12.0,0.0,0.0,28.0,0.0,1.0
2020-12-25,0.0,6.0,0.0,4.0,259.0,8.0,78.0,4.0,8.0,28.0,38.0,13.0,1.0,33.0,0.0,6.0,1.0,0.0,0.0,19.0,1.0,1.0,21.0,0.0,0.0
2020-12-26,0.0,6.0,3.0,4.0,246.0,2.0,111.0,1.0,2.0,30.0,3.0,22.0,0.0,3.0,0.0,18.0,1.0,12.0,0.0,2.0,1.0,11.0,27.0,0.0,0.0
2020-12-27,0.0,5.0,3.0,1.0,170.0,14.0,143.0,2.0,0.0,67.0,1.0,74.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,26.0,23.0,8.0,0.0
2020-12-28,0.0,3.0,0.0,0.0,241.0,12.0,131.0,2.0,0.0,56.0,51.0,7.0,0.0,6.0,0.0,0.0,1.0,22.0,1.0,34.0,0.0,1.0,4.0,7.0,0.0
2020-12-29,0.0,2.0,1.0,3.0,162.0,12.0,98.0,4.0,1.0,38.0,43.0,19.0,0.0,21.0,0.0,1.0,1.0,8.0,0.0,35.0,2.0,2.0,22.0,1.0,0.0
2020-12-30,1.0,1.0,5.0,2.0,201.0,18.0,64.0,1.0,0.0,14.0,26.0,2.0,0.0,0.0,0.0,4.0,2.0,24.0,0.0,29.0,2.0,3.0,18.0,8.0,0.0
2020-12-31,0.0,0.0,3.0,0.0,63.0,32.0,217.0,0.0,8.0,44.0,31.0,53.0,0.0,30.0,0.0,4.0,16.0,1.0,0.0,26.0,0.0,2.0,35.0,6.0,0.0
2021-01-01,0.0,1.0,1.0,7.0,264.0,2.0,85.0,2.0,13.0,36.0,60.0,14.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,24.0,0.0,0.0,10.0,0.0,0.0
2021-01-02,0.0,0.0,2.0,28.0,164.0,36.0,73.0,4.0,3.0,32.0,28.0,47.0,0.0,8.0,0.0,2.0,2.0,26.0,0.0,6.0,2.0,0.0,24.0,6.0,0.0
2021-01-03,1.0,7.0,5.0,0.0,83.0,8.0,117.0,19.0,0.0,34.0,31.0,2.0,0.0,33.0,0.0,2.0,8.0,25.0,0.0,9.0,12.0,0.0,52.0,0.0,0.0
2021-01-04,0.0,0.0,3.0,5.0,147.0,3.0,79.0,5.0,0.0,26.0,38.0,22.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,1.0,1.0,13.0,7.0,0.0
2021-01-05,0.0,1.0,1.0,9.0,228.0,24.0,63.0,14.0,6.0,24.0,23.0,9.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,13.0,0.0,1.0,24.0,0.0,1.0
2021-01-06,5.0,3.0,3.0,10.0,126.0,2.0,144.0,5.0,2.0,28.0,21.0,5.0,1.0,2.0,5.0,0.0,16.0,27.0,0.0,0.0,4.0,0.0,19.0,13.0,5.0
2021-01-07,4.0,2.0,0.0,6.0,182.0,25.0,96.0,3.0,0.0,71.0,12.0,30.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,13.0,23.0,0.0
