"Population Estimates by County",""
"County","Population"
"Val Verde County","49,025"
"Van Zandt County","56,590"
"Victoria County","92,084"
"Walker County","72,971"
"Waller County","55,246"
"Ward County","11,998"
"Washington County","35,882"
"Webb County","276,652"
"Wharton County","41,556"
"Wheeler County","5,056"
"Wichita County","132,230"
"Wilbarger County","12,769"
"Willacy County","21,358"
"Williamson County","590,551"
"Wilson County","51,070"
"Winkler County","8,010"
"Wise County","69,984"
"Wood County","45,539"
"Yoakum County","8,713"
"Young County","18,010"
"Zapata County","14,179"
"Zavala County","11,840"
"Source(s): U.S. Census Bureau, Vintage 2019 Population Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ",""
