1380,495,502,515,521,532,565,570,574,576,580,584,588,592,592,591,593,597,86,77,72,62,60,60,58,54,47,48,64,56,57,58,57,57,57,51,50,50,48,52,46,41,37,35,34,34,30,28,29,29,27,28,27,26,36,42,42,42,47,47,53,66,79,83,90,89,90,106,132,130,153,148,133,145,148,153,149,167,163,177,172,187,210,226,248,234,271,278,300,299,334,329,331,331,349,338,336,336,338,326,337,326,351,398,446,490,506,540,634,748,859,928,947,1128,1249,1382,1483,1644,1848,1956,2056,2136,2255,2556,2787,3029,3194,3334,3440,3590,3768,3995,4237,4446,4577
20132,1399,1431,1434,1546,1568,1612,1624,1627,1688,1715,1782,1816,1831,1841,1841,1892,1892,803,777,782,730,775,704,713,712,691,696,690,717,716,688,722,706,758,734,769,732,761,741,796,781,792,792,792,518,503,493,496,509,509,584,568,596,666,648,595,645,627,621,547,582,490,475,475,497,623,641,694,732,612,862,760,829,1165,1063,1404,1333,1763,1952,2045,2108,4100,4446,4782,5072,5538,5939,6351,6806,7338,7687,8123,8355,8979,9507,9959,10357,10766,10997,11362,11683,11853,12113,11870,12549,12809,13096,13298,13593,13784,13915,13767,14100,14409,14616,14971,15210,15524,15517,15708,16011,16340,16528,16817,16837,16771,16781,16946,16994,17081,17052,16994,16932,16876
7585,21227,22380,23644,24662,26446,27901,29067,30164,31591,33542,35249,37863,39902,41970,43900,45977,48143,50563,53598,55946,58881,61118,63055,65258,67760,70519,72736,74335,75548,79420,80902,84009,86310,88328,90014,92251,93651,95893,98081,1.0073e+05,1.0301e+05,1.0545e+05,1.0713e+05,1.0827e+05,1.0922e+05,1.1065e+05,1.1219e+05,1.1359e+05,1.1487e+05,1.1582e+05,1.1732e+05,1.1821e+05,1.1902e+05,1.2012e+05,1.2103e+05,1.2185e+05,1.2249e+05,1.2319e+05,1.2374e+05,1.2442e+05,1.2494e+05,1.2558e+05,1.2624e+05,1.2669e+05,1.2724e+05,1.277e+05,1.2824e+05,1.2889e+05,1.2948e+05,1.3012e+05,1.3055e+05,1.3112e+05,1.3177e+05,1.3262e+05,1.3344e+05,1.342e+05,1.3484e+05,1.3556e+05,1.3626e+05,1.3706e+05,1.3706e+05,1.3875e+05,1.396e+05,1.4023e+05,1.4084e+05,1.423e+05,1.4325e+05,1.4424e+05,1.4555e+05,1.4673e+05,1.4766e+05,1.4854e+05,1.4922e+05,1.504e+05,1.5163e+05,1.5304e+05,1.543e+05,1.5526e+05,1.5643e+05,1.5735e+05,1.5894e+05,1.6054e+05,1.6212e+05,1.6353e+05,1.6507e+05,1.6629e+05,1.6733e+05,1.6871e+05,1.7047e+05,1.7242e+05,1.7405e+05,1.7551e+05,1.768e+05,1.7825e+05,1.7998e+05,1.8191e+05,1.8399e+05,1.8616e+05,1.8754e+05,1.8885e+05,1.9038e+05,1.9201e+05,1.9382e+05,1.9609e+05,1.9791e+05,1.9946e+05,2.0122e+05,2.0293e+05,2.052e+05,2.0701e+05,2.0928e+05,2.1162e+05,2.1351e+05,2.1511e+05
1546,8009,8140,8524,9065,9632,10096,10649,11111,11462,11772,12333,12940,13613,14199,15117,15687,16218,16721,17455,18180,18801,19356,19822,20493,21089,21699,22242,22618,23087,23549,23854,24407,24965,25539,26027,26490,26881,27410,28023,28468,28937,29400,29731,30074,30407,31000,31448,32086,10736,10463,10417,10323,10158,10003,9976,9956,9699,9489,9191,9047,8939,8889,8965,9253,9246,8867,8772,8470,8415,8581,8341,8150,8410,8033,8149,8234,8376,8256,8308,8277,8320,8478,8669,9033,9038,8910,8869,9041,9432,9882,10229,10361,10755,11014,11281,11589,12112,12784,13059,13748,14488,14119,14648,15090,15660,15877,16206,16309,16556,16723,17196,17527,18098,22724,15259,14701,15163,16183,17219,17880,16444,16227,17251,16446,17060,17481,17194,17164,16673,16824,16978,17968,18581,20236
1288,1669,1850,1942,2081,2268,2439,2827,3080,3558,3658,3828,4338,4980,5358,5741,6240,6695,4286,4815,5312,5666,6029,6332,6382,6562,6529,6408,6540,6853,7005,7029,7126,7152,7055,7146,7276,6799,6865,7088,6989,7198,7477,7724,7435,7857,7721,7680,7694,7870,7704,7716,7662,7890,7976,8164,8302,8362,8200,8367,8377,8479,8741,8891,8799,8489,8496,8577,8777,8852,9209,9220,9201,9053,9660,9700,9902,10194,10283,5146,5190,5547,5404,5736,6057,5914,5827,5914,6173,7538,7806,8424,8212,8157,8582,9165,9509,9704,10126,10521,10527,10787,11052,11392,11583,11903,11987,11466,11523,11585,11303,11600,11893,11802,11320,11203,11099,10803,10726,10892,10914,10542,10363,10093,10398,10709,10947,11054,10634,10676,11145,11390,11580,11916,12124
1866,1328,1372,1433,1535,1648,1736,1812,1946,2055,2219,2608,2841,3015,3156,3347,3525,3705,4007,4214,4457,4726,4936,5191,5511,5844,6167,6305,6406,6603,6680,6908,7094,7250,7301,7315,7640,7689,7832,7948,8219,8256,8314,8425,8496,8544,8623,8900,8928,8938,9156,9188,9274,9348,9462,9516,9561,9683,9747,9853,9923,10063,10108,10189,10397,10489,10701,10806,11053,11126,11164,11448,11555,11923,12098,12418,12570,12799,13142,13303,13719,13888,14535,14786,14955,15494,15712,16164,16613,17105,17487,17779,18427,18668,19097,19564,20099,20402,20704,21328,21597,22110,22584,23147,23603,23882,24363,24610,25093,25379,25828,26056,26332,26869,27218,27630,27985,28465,28790,28989,29478,29756,30333,30714,31227,32080,32080,32799,33054,33532,34016,34949,35442,35712,36582
19755,1905,1942,2095,2306,2385,2563,2814,2896,3033,3193,3288,3579,3710,3877,3943,4150,4303,2800,2961,2879,3125,3092,3655,3593,3710,3813,3870,3828,4058,4197,3986,4248,4400,4615,4586,4821,4877,4965,4981,5027,5111,5078,5078,5455,5553,5652,5865,6042,6041,6375,6468,6677,6944,7195,7473,7473,7645,7865,8024,8073,8290,8537,8537,8726,8711,9033,9171,9416,9576,9694,9779,10013,10119,10352,10576,10883,10944,10848,11069,11218,10772,11044,11044,11044,11774,12076,12399,12694,12794,13177,13442,13680,14199,14557,14933,14175,14693,15667,15867,16459,16863,17417,17845,18647,18961,19411,19922,20508,21065,21935,21848,22308,22429,23040,23522,23971,24443,25132,25535,25741,26191,27262,27925,28473,29029,29029,29715,30236,30753,31382,31953,32746,32746,33470
614,20132,20505,20848,21376,21905,22313,22632,23195,23449,23785,24140,24480,24805,25044,25328,25485,25815,8793,9438,9844,10025,7293,7565,7916,8128,8312,8834,8998,6899,7095,7673,8464,8781,9030,9333,5897,6208,6459,7626,8008,8008,8229,6418,6652,7074,7361,7335,8091,8425,5812,6183,6535,6951,7349,7833,8152,6202,6751,7158,7581,8095,9375,9701,7137,7647,8555,8555,8414,9264,9656,7330,8669,9533,10459,11787,11787,13245,11657,12649,13914,15280,16985,16985,18912,20005,21918,20478,22305,24922,27066,28372,30070,32263,27382,29638,31793,31793,34875,38142,39797,34340,36620,38563,38563,42355,44675,45770,34644,36310,38085,38085,41494,42576,46164,32764,34017,35456,35456,38053,38591,39729,26436,27525,28795,28795,29899,30447,31059,17174,18064,18913,18913,20077,20682
7989,679,715,746,769,798,815,833,840,852,868,893,918,918,965,972,989,1004,411,411,408,422,428,424,426,481,475,487,511,525,499,506,538,541,566,589,589,580,646,659,681,704,714,706,712,699,703,683,688,684,674,637,624,612,587,581,607,598,514,514,505,516,505,520,520,485,459,476,488,456,464,460,451,424,455,457,484,510,491,502,518,525,537,539,534,527,514,494,474,457,436,431,436,390,385,390,407,392,422,435,414,388,380,380,390,411,421,398,409,421,428,437,448,450,430,414,400,413,399,407,389,366,365,371,386,401,417,432,437,446,446,459,470,471,464
24719,8674,9170,9721,10465,11238,11905,12386,13102,13541,14077,14989,15818,16891,17671,18542,19097,19771,19170,20875,21632,22515,23396,23917,24823,25842,26884,27761,28650,29392,29911,30547,31468,32390,33205,33996,34922,36597,37207,38273,38974,39969,40717,41521,42020,42630,43813,44951,45857,46482,46993,47723,48371,49205,49909,50567,50984,51388,51814,52311,52957,53239,53843,54221,54518,54848,55377,55573,55833,56159,56467,56753,57118,57419,57774,58070,58358,58633,59100,59387,59712,60198,60715,61080,61360,61629,62094,62501,63027,63450,63967,64560,64972,65688,66437,67031,67726,68494,69410,69959,70763,71333,71993,72910,74187,74874,75995,76474,77215,78097,79164,80146,81046,81881,82584,83141,83664,84403,85105,86008,86757,87304,87816,88578,89258,90062,90569,91066,91577,91958,92520,93178,93791,94364,94928
